iter	Passed	Remaining
0	324	32081
1	590	28925
2	857	27715
3	1105	26543
4	1354	25742
5	1600	25071
6	1857	24676
7	2117	24351
8	2400	24269
9	2689	24201
10	2969	24022
11	3244	23795
12	3493	23377
13	3747	23022
14	4012	22736
15	4258	22356
16	4525	22092
17	4789	21819
18	5042	21496
19	5293	21175
20	5557	20904
21	5822	20644
22	6074	20336
23	6344	20091
24	6587	19762
25	6836	19456
26	7080	19143
27	7338	18869
28	7591	18587
29	7840	18293
30	8088	18004
31	8349	17741
32	8609	17480
33	8858	17195
34	9123	16943
35	9410	16729
36	9684	16489
37	9940	16218
38	10224	15992
39	10511	15767
40	10788	15524
41	11067	15283
42	11337	15028
43	11604	14769
44	11903	14548
45	12202	14325
46	12476	14069
47	12744	13807
48	13006	13537
49	13281	13281
50	13538	13007
51	13799	12737
52	14056	12465
53	14313	12192
54	14573	11923
55	14849	11667
56	15133	11416
57	15410	11159
58	15691	10904
59	15946	10631
60	16221	10371
61	16511	10119
62	16797	9865
63	17054	9593
64	17302	9316
65	17540	9035
66	17811	8773
67	18089	8512
68	18350	8244
69	18594	7968
70	18872	7708
71	19100	7427
72	19382	7168
73	19626	6895
74	19913	6637
75	20179	6372
76	20404	6094
77	20649	5824
78	20888	5552
79	21158	5289
80	21437	5028
81	21698	4763
82	21942	4494
83	22188	4226
84	22422	3956
85	22686	3693
86	22930	3426
87	23166	3159
88	23398	2891
89	23634	2626
90	23897	2363
91	24143	2099
92	24373	1834
93	24610	1570
94	24822	1306
95	25115	1046
96	25363	784
97	25635	523
98	25895	261
99	26132	0
